N=7. We are checking a total of 77 Tableaux.
4: [[1, 3, 6], [2, 4, 7], [5]] True 2019-02-26 09:41:57.395603
22: [[1, 4, 7], [2, 5], [3, 6]] True 2019-02-26 09:41:57.399831
5: [[1, 2, 6], [3, 4, 7], [5]] True 2019-02-26 09:41:57.807035
10: [[1, 2, 4], [3, 6, 7], [5]] True 2019-02-26 09:41:58.664794
1: [[1, 4, 6], [2, 5, 7], [3]] True 2019-02-26 09:41:58.737124
16: [[1, 2, 3], [4, 5, 7], [6]] True 2019-02-26 09:41:58.866000
23: [[1, 3, 7], [2, 5], [4, 6]] True 2019-02-26 09:41:58.896475
11: [[1, 2, 3], [4, 6, 7], [5]] True 2019-02-26 09:41:58.982479
6: [[1, 4, 5], [2, 6, 7], [3]] True 2019-02-26 09:41:59.215554
25: [[1, 3, 7], [2, 4], [5, 6]] True 2019-02-26 09:41:59.337297
24: [[1, 2, 7], [3, 5], [4, 6]] True 2019-02-26 09:41:59.358010
12: [[1, 3, 5], [2, 4, 7], [6]] True 2019-02-26 09:41:59.503868
19: [[1, 3, 4], [2, 5, 6], [7]] True 2019-02-26 09:41:59.985351
17: [[1, 3, 5], [2, 4, 6], [7]] True 2019-02-26 09:42:00.491394
7: [[1, 3, 5], [2, 6, 7], [4]] True 2019-02-26 09:42:00.500063
26: [[1, 2, 7], [3, 4], [5, 6]] True 2019-02-26 09:42:00.511493
2: [[1, 3, 6], [2, 5, 7], [4]] True 2019-02-26 09:42:00.779135
31: [[1, 2, 6], [3, 4], [5, 7]] True 2019-02-26 09:42:00.989955
3: [[1, 2, 6], [3, 5, 7], [4]] True 2019-02-26 09:42:01.001878
34: [[1, 2, 5], [3, 6], [4, 7]] True 2019-02-26 09:42:01.047925
8: [[1, 2, 5], [3, 6, 7], [4]] True 2019-02-26 09:42:01.056473
32: [[1, 4, 5], [2, 6], [3, 7]] True 2019-02-26 09:42:01.279850
27: [[1, 4, 6], [2, 5], [3, 7]] True 2019-02-26 09:42:02.049432
37: [[1, 2, 3], [4, 6], [5, 7]] True 2019-02-26 09:42:02.163409
33: [[1, 3, 5], [2, 6], [4, 7]] True 2019-02-26 09:42:02.503577
18: [[1, 2, 5], [3, 4, 6], [7]] True 2019-02-26 09:42:03.393519
40: [[1, 3, 4], [2, 5], [6, 7]] True 2019-02-26 09:42:03.513566
38: [[1, 3, 5], [2, 4], [6, 7]] True 2019-02-26 09:42:03.821611
43: [[1, 5, 7], [2, 6], [3], [4]] True 2019-02-26 09:42:03.939026
41: [[1, 2, 4], [3, 5], [6, 7]] True 2019-02-26 09:42:03.999094
20: [[1, 2, 4], [3, 5, 6], [7]] True 2019-02-26 09:42:05.198750
42: [[1, 2, 3], [4, 5], [6, 7]] True 2019-02-26 09:42:05.292152
13: [[1, 2, 5], [3, 4, 7], [6]] True 2019-02-26 09:42:05.378427
46: [[1, 2, 7], [3, 6], [4], [5]] True 2019-02-26 09:42:05.446610
14: [[1, 3, 4], [2, 5, 7], [6]] True 2019-02-26 09:42:05.553073
15: [[1, 2, 4], [3, 5, 7], [6]] True 2019-02-26 09:42:06.101884
44: [[1, 4, 7], [2, 6], [3], [5]] True 2019-02-26 09:42:07.118470
49: [[1, 2, 7], [3, 5], [4], [6]] True 2019-02-26 09:42:07.629829
50: [[1, 3, 7], [2, 4], [5], [6]] True 2019-02-26 09:42:07.675118
51: [[1, 2, 7], [3, 4], [5], [6]] True 2019-02-26 09:42:09.207648
52: [[1, 5, 6], [2, 7], [3], [4]] True 2019-02-26 09:42:09.445057
45: [[1, 3, 7], [2, 6], [4], [5]] True 2019-02-26 09:42:10.006041
55: [[1, 2, 6], [3, 7], [4], [5]] True 2019-02-26 09:42:10.050386
53: [[1, 4, 6], [2, 7], [3], [5]] True 2019-02-26 09:42:10.474925
9: [[1, 3, 4], [2, 6, 7], [5]] True 2019-02-26 09:42:11.094782
54: [[1, 3, 6], [2, 7], [4], [5]] True 2019-02-26 09:42:11.565009
61: [[1, 2, 3], [4, 7], [5], [6]] True 2019-02-26 09:42:11.735424
58: [[1, 2, 5], [3, 7], [4], [6]] True 2019-02-26 09:42:12.724105
39: [[1, 2, 5], [3, 4], [6, 7]] True 2019-02-26 09:42:18.159549
35: [[1, 3, 4], [2, 6], [5, 7]] True 2019-02-26 09:42:23.661644
36: [[1, 2, 4], [3, 6], [5, 7]] True 2019-02-26 09:42:25.760026
21: [[1, 2, 3], [4, 5, 6], [7]] True 2019-02-26 09:42:27.363150
28: [[1, 3, 6], [2, 5], [4, 7]] True 2019-02-26 09:42:33.267299
29: [[1, 2, 6], [3, 5], [4, 7]] True 2019-02-26 09:42:34.347641
30: [[1, 3, 6], [2, 4], [5, 7]] True 2019-02-26 09:42:34.958415
73: [[1, 3, 5], [2, 4], [6], [7]] True 2019-02-26 09:42:37.153001
47: [[1, 4, 7], [2, 5], [3], [6]] True 2019-02-26 09:43:07.213879
